"id","distrito","sexo","edad_rango","nse","voto_presidente","voto_diputado","voto_senado","peso"
520,"Paucarpata","Mujer","35-44","D/E","Otros","Otros","A. Elmer Arenas Pérez",1
521,"Yura","Mujer","35-44","D/E","N.S/N.O","N.S/N.O","Ricardo Ramírez del Villar",1
522,"Sachaca","Hombre","18-24","C","Otros","Mauricio Alosilla Chambi","A. Elmer Arenas Pérez",1
523,"Socabaya","Mujer","18-24","A/B","Otros","Marleny Arminta Valencia","N.S/N.O",1
524,"Miraflores","Mujer","55-70","A/B","Rafael López Aliaga","N.S/N.O","N.S/N.O",1
525,"Cerro Colorado","Hombre","18-24","C","Otros","N.S/N.O","Gustavo Rondón Fudinaga",1
526,"Mariano Melgar","Hombre","18-24","C","Otros","N.S/N.O","Otros",1
527,"Cerro Colorado","Hombre","18-24","A/B","N.S/N.O","Otros","Gustavo Rondón Fudinaga",1
528,"Yanahuara","Mujer","25-34","D/E","Roberto Sánchez Palomino","N.S/N.O","N.S/N.O",1
529,"Mariano Melgar","Hombre","55-70","D/E","Roberto Sánchez Palomino","N.S/N.O","N.S/N.O",1
530,"Arequipa Cercado","Mujer","55-70","D/E","Rafael López Aliaga","N.S/N.O","Otros",1
531,"Alto Selva Alegre","Mujer","35-44","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
532,"Cerro Colorado","Mujer","55-70","A/B","N.S/N.O","N.S/N.O","Gustavo Rondón Fudinaga",1
533,"Alto Selva Alegre","Hombre","25-34","A/B","Pablo López Chau","N.S/N.O","Ricardo Ramírez del Villar",1
534,"Paucarpata","Hombre","25-34","D/E","Cesar Acuña Peralta","Mauricio Alosilla Chambi","Otros",1
535,"José Luis Bustamante y Rivero","Mujer","45-54","A/B","N.S/N.O","Nicolas Talavera Benavente","A. Elmer Arenas Pérez",1
536,"Cerro Colorado","Hombre","18-24","C","N.S/N.O","Marleny Arminta Valencia","N.S/N.O",1
537,"Socabaya","Mujer","25-34","C","Pablo López Chau","N.S/N.O","Sergio Davila Vizcarra",1
538,"José Luis Bustamante y Rivero","Mujer","35-44","C","Pablo López Chau","N.S/N.O","N.S/N.O",1
539,"Yura","Hombre","18-24","C","Cesar Acuña Peralta","Otros","Otros",1
540,"José Luis Bustamante y Rivero","Hombre","25-34","C","Cesar Acuña Peralta","N.S/N.O","N.S/N.O",1
541,"José Luis Bustamante y Rivero","Hombre","25-34","D/E","N.S/N.O","N.S/N.O","Gustavo Rondón Fudinaga",1
542,"Arequipa Cercado","Hombre","35-44","C","Cesar Acuña Peralta","Marleny Arminta Valencia","N.S/N.O",1
543,"José Luis Bustamante y Rivero","Hombre","25-34","C","N.S/N.O","Cosme Huaman Sánchez","N.S/N.O",1
544,"Miraflores","Mujer","25-34","D/E","Pablo López Chau","N.S/N.O","A. Elmer Arenas Pérez",1
545,"Paucarpata","Hombre","18-24","C","N.S/N.O","N.S/N.O","Sergio Davila Vizcarra",1
546,"La Joya","Mujer","55-70","A/B","Cesar Acuña Peralta","Otros","N.S/N.O",1
547,"Cerro Colorado","Hombre","45-54","D/E","Otros","Amalia Palomino Pacheco","N.S/N.O",1
548,"Cayma","Mujer","35-44","A/B","Otros","Cosme Huaman Sánchez","Otros",1
549,"Arequipa Cercado","Mujer","45-54","D/E","Rafael López Aliaga","N.S/N.O","A. Elmer Arenas Pérez",1
550,"Alto Selva Alegre","Mujer","35-44","D/E","N.S/N.O","Nicolas Talavera Benavente","N.S/N.O",1
551,"Miraflores","Mujer","45-54","C","N.S/N.O","Adolfo Donayre Sarolli","N.S/N.O",1
552,"Arequipa Cercado","Hombre","35-44","D/E","N.S/N.O","Otros","Sergio Davila Vizcarra",1
553,"La Joya","Hombre","25-34","A/B","José Luna Gálvez","N.S/N.O","N.S/N.O",1
554,"Yanahuara","Mujer","45-54","C","Cesar Acuña Peralta","N.S/N.O","A. Elmer Arenas Pérez",1
555,"Paucarpata","Hombre","25-34","A/B","Keiko Fujimori Higuchi","Otros","Otros",1
556,"Cayma","Mujer","55-70","C","N.S/N.O","N.S/N.O","Otros",1
557,"Miraflores","Mujer","45-54","D/E","Roberto Sánchez Palomino","Adolfo Donayre Sarolli","Gustavo Rondón Fudinaga",1
558,"Alto Selva Alegre","Hombre","55-70","C","Keiko Fujimori Higuchi","N.S/N.O","N.S/N.O",1
559,"Arequipa Cercado","Hombre","55-70","D/E","Otros","N.S/N.O","N.S/N.O",1
560,"Paucarpata","Mujer","18-24","C","Roberto Sánchez Palomino","N.S/N.O","A. Elmer Arenas Pérez",1
561,"Cerro Colorado","Hombre","35-44","D/E","Otros","Marleny Arminta Valencia","Otros",1
562,"Cerro Colorado","Hombre","25-34","A/B","Roberto Sánchez Palomino","Guido del Carpio Rodriguez","Sergio Davila Vizcarra",1
563,"Cerro Colorado","Hombre","35-44","D/E","Cesar Acuña Peralta","Otros","N.S/N.O",1
564,"Cerro Colorado","Hombre","18-24","D/E","N.S/N.O","Amalia Palomino Pacheco","Yobana Huisa Vargas",1
565,"Paucarpata","Mujer","55-70","D/E","Roberto Sánchez Palomino","Otros","N.S/N.O",1
566,"Yanahuara","Mujer","35-44","C","Carlos Álvarez Loayza","N.S/N.O","Otros",1
567,"Arequipa Cercado","Mujer","18-24","A/B","Keiko Fujimori Higuchi","Otros","Gustavo Rondón Fudinaga",1
568,"Alto Selva Alegre","Hombre","18-24","D/E","Otros","N.S/N.O","Sergio Davila Vizcarra",1
569,"Alto Selva Alegre","Hombre","25-34","A/B","N.S/N.O","Guido del Carpio Rodriguez","Gustavo Rondón Fudinaga",1
570,"Arequipa Cercado","Hombre","45-54","D/E","N.S/N.O","N.S/N.O","Sergio Davila Vizcarra",1
571,"Cerro Colorado","Hombre","55-70","D/E","N.S/N.O","Otros","Gustavo Rondón Fudinaga",1
572,"Paucarpata","Hombre","45-54","C","N.S/N.O","N.S/N.O","N.S/N.O",1
573,"Paucarpata","Hombre","25-34","C","Cesar Acuña Peralta","Nicolas Talavera Benavente","Gustavo Rondón Fudinaga",1
574,"La Joya","Mujer","35-44","D/E","Rafael López Aliaga","Amalia Palomino Pacheco","A. Elmer Arenas Pérez",1
575,"Cerro Colorado","Mujer","45-54","D/E","Wolfgang Grozo Costa","Cosme Huaman Sánchez","N.S/N.O",1
576,"Cayma","Mujer","35-44","A/B","Wolfgang Grozo Costa","Otros","N.S/N.O",1
577,"Cerro Colorado","Mujer","45-54","A/B","N.S/N.O","N.S/N.O","N.S/N.O",1
578,"Cayma","Mujer","35-44","A/B","Cesar Acuña Peralta","N.S/N.O","N.S/N.O",1
579,"Paucarpata","Hombre","25-34","D/E","N.S/N.O","N.S/N.O","Gustavo Rondón Fudinaga",1
580,"Arequipa Cercado","Mujer","25-34","D/E","Cesar Acuña Peralta","Esdras Medina Minaya","N.S/N.O",1
581,"Paucarpata","Hombre","45-54","A/B","N.S/N.O","Amalia Palomino Pacheco","Ricardo Ramírez del Villar",1
582,"José Luis Bustamante y Rivero","Hombre","55-70","D/E","N.S/N.O","N.S/N.O","Otros",1
583,"José Luis Bustamante y Rivero","Hombre","25-34","D/E","Keiko Fujimori Higuchi","Otros","N.S/N.O",1
584,"Socabaya","Hombre","45-54","D/E","Roberto Sánchez Palomino","N.S/N.O","N.S/N.O",1
585,"Cerro Colorado","Hombre","45-54","A/B","Pablo López Chau","Otros","Yobana Huisa Vargas",1
586,"Cerro Colorado","Hombre","25-34","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
587,"José Luis Bustamante y Rivero","Hombre","25-34","A/B","Otros","N.S/N.O","N.S/N.O",1
588,"Paucarpata","Mujer","35-44","D/E","N.S/N.O","Esdras Medina Minaya","Otros",1
589,"José Luis Bustamante y Rivero","Hombre","18-24","C","N.S/N.O","N.S/N.O","Gustavo Rondón Fudinaga",1
590,"Cerro Colorado","Hombre","18-24","D/E","Cesar Acuña Peralta","N.S/N.O","Yobana Huisa Vargas",1
591,"Paucarpata","Hombre","35-44","D/E","Wolfgang Grozo Costa","N.S/N.O","N.S/N.O",1
592,"Paucarpata","Hombre","25-34","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
593,"Mariano Melgar","Mujer","45-54","C","N.S/N.O","N.S/N.O","Gustavo Rondón Fudinaga",1
594,"Cerro Colorado","Hombre","25-34","A/B","N.S/N.O","Nicolas Talavera Benavente","N.S/N.O",1
595,"Cerro Colorado","Mujer","45-54","D/E","N.S/N.O","Otros","A. Elmer Arenas Pérez",1
596,"Sachaca","Mujer","18-24","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
597,"José Luis Bustamante y Rivero","Hombre","45-54","D/E","N.S/N.O","Adolfo Donayre Sarolli","N.S/N.O",1
598,"Arequipa Cercado","Mujer","35-44","C","N.S/N.O","N.S/N.O","A. Elmer Arenas Pérez",1
599,"Arequipa Cercado","Mujer","35-44","D/E","Wolfgang Grozo Costa","N.S/N.O","Gustavo Rondón Fudinaga",1
600,"Paucarpata","Mujer","35-44","D/E","Roberto Sánchez Palomino","Amalia Palomino Pacheco","Gustavo Rondón Fudinaga",1
601,"Arequipa Cercado","Hombre","18-24","C","N.S/N.O","Marleny Arminta Valencia","N.S/N.O",1
602,"Cerro Colorado","Mujer","18-24","D/E","Roberto Sánchez Palomino","N.S/N.O","Yobana Huisa Vargas",1
603,"Arequipa Cercado","Mujer","35-44","D/E","Pablo López Chau","Esdras Medina Minaya","Sergio Davila Vizcarra",1
604,"Mariano Melgar","Mujer","45-54","C","Carlos Álvarez Loayza","Otros","N.S/N.O",1
605,"Cerro Colorado","Mujer","25-34","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
606,"La Joya","Mujer","18-24","D/E","N.S/N.O","N.S/N.O","Otros",1
607,"Yanahuara","Mujer","25-34","D/E","Wolfgang Grozo Costa","N.S/N.O","N.S/N.O",1
608,"Socabaya","Hombre","35-44","C","Otros","Otros","Yobana Huisa Vargas",1
609,"Arequipa Cercado","Hombre","25-34","D/E","Roberto Sánchez Palomino","Marleny Arminta Valencia","N.S/N.O",1
610,"Arequipa Cercado","Hombre","25-34","A/B","N.S/N.O","N.S/N.O","Sergio Davila Vizcarra",1
611,"Mariano Melgar","Mujer","18-24","C","N.S/N.O","N.S/N.O","A. Elmer Arenas Pérez",1
612,"Miraflores","Mujer","18-24","C","Otros","N.S/N.O","N.S/N.O",1
613,"La Joya","Mujer","25-34","D/E","Carlos Álvarez Loayza","Otros","N.S/N.O",1
614,"Cayma","Hombre","55-70","D/E","N.S/N.O","Cosme Huaman Sánchez","N.S/N.O",1
615,"Cerro Colorado","Hombre","25-34","A/B","N.S/N.O","N.S/N.O","Yobana Huisa Vargas",1
616,"Arequipa Cercado","Hombre","35-44","D/E","Pablo López Chau","N.S/N.O","N.S/N.O",1
617,"Arequipa Cercado","Hombre","55-70","D/E","Pablo López Chau","Otros","Gustavo Rondón Fudinaga",1
618,"Cerro Colorado","Mujer","25-34","A/B","Carlos Álvarez Loayza","N.S/N.O","Otros",1
619,"Yanahuara","Mujer","45-54","C","N.S/N.O","Nicolas Talavera Benavente","N.S/N.O",1
620,"Yanahuara","Hombre","25-34","D/E","Pablo López Chau","N.S/N.O","Otros",1
621,"Arequipa Cercado","Hombre","18-24","D/E","Wolfgang Grozo Costa","N.S/N.O","Gustavo Rondón Fudinaga",1
622,"José Luis Bustamante y Rivero","Mujer","25-34","D/E","Wolfgang Grozo Costa","Otros","Gustavo Rondón Fudinaga",1
623,"Miraflores","Mujer","35-44","D/E","N.S/N.O","Adolfo Donayre Sarolli","Gustavo Rondón Fudinaga",1
624,"Cayma","Hombre","18-24","C","N.S/N.O","Amalia Palomino Pacheco","Sergio Davila Vizcarra",1
625,"Paucarpata","Mujer","18-24","D/E","Cesar Acuña Peralta","Otros","A. Elmer Arenas Pérez",1
626,"Mariano Melgar","Mujer","18-24","D/E","Cesar Acuña Peralta","Cosme Huaman Sánchez","Yobana Huisa Vargas",1
627,"Paucarpata","Mujer","25-34","D/E","N.S/N.O","Otros","N.S/N.O",1
628,"Cayma","Hombre","25-34","D/E","N.S/N.O","N.S/N.O","Sergio Davila Vizcarra",1
629,"Cerro Colorado","Hombre","35-44","D/E","Pablo López Chau","N.S/N.O","N.S/N.O",1
630,"Cerro Colorado","Mujer","25-34","C","Pablo López Chau","N.S/N.O","N.S/N.O",1
631,"José Luis Bustamante y Rivero","Mujer","45-54","C","Keiko Fujimori Higuchi","Esdras Medina Minaya","N.S/N.O",1
632,"Miraflores","Mujer","18-24","A/B","N.S/N.O","Marleny Arminta Valencia","N.S/N.O",1
633,"Cerro Colorado","Hombre","45-54","A/B","José Luna Gálvez","Otros","N.S/N.O",1
634,"Cerro Colorado","Hombre","25-34","C","N.S/N.O","Otros","Otros",1
635,"Socabaya","Hombre","45-54","A/B","Otros","N.S/N.O","N.S/N.O",1
636,"Alto Selva Alegre","Hombre","45-54","D/E","Otros","Marleny Arminta Valencia","N.S/N.O",1
637,"Paucarpata","Hombre","55-70","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
638,"Alto Selva Alegre","Hombre","45-54","D/E","Pablo López Chau","N.S/N.O","Gustavo Rondón Fudinaga",1
639,"Mariano Melgar","Hombre","45-54","D/E","Otros","Guido del Carpio Rodriguez","N.S/N.O",1
640,"Cerro Colorado","Mujer","35-44","D/E","Otros","Marleny Arminta Valencia","N.S/N.O",1
641,"Alto Selva Alegre","Mujer","45-54","D/E","N.S/N.O","Esdras Medina Minaya","Yobana Huisa Vargas",1
642,"Cayma","Hombre","35-44","C","Otros","N.S/N.O","Ricardo Ramírez del Villar",1
643,"Alto Selva Alegre","Mujer","25-34","D/E","N.S/N.O","Guido del Carpio Rodriguez","N.S/N.O",1
644,"Paucarpata","Mujer","25-34","A/B","Otros","Otros","N.S/N.O",1
645,"Socabaya","Hombre","18-24","D/E","N.S/N.O","Mauricio Alosilla Chambi","Otros",1
646,"Mariano Melgar","Mujer","25-34","D/E","Pablo López Chau","N.S/N.O","Ricardo Ramírez del Villar",1
647,"Socabaya","Mujer","25-34","D/E","N.S/N.O","N.S/N.O","A. Elmer Arenas Pérez",1
648,"Cayma","Hombre","18-24","C","Pablo López Chau","Otros","Gustavo Rondón Fudinaga",1
649,"Paucarpata","Hombre","55-70","D/E","Otros","Otros","Gustavo Rondón Fudinaga",1
650,"Cerro Colorado","Mujer","18-24","D/E","Wolfgang Grozo Costa","Mauricio Alosilla Chambi","N.S/N.O",1
651,"Cerro Colorado","Hombre","25-34","A/B","Carlos Álvarez Loayza","Otros","N.S/N.O",1
652,"Alto Selva Alegre","Mujer","55-70","D/E","Rafael López Aliaga","Otros","N.S/N.O",1
653,"Miraflores","Hombre","35-44","D/E","Otros","N.S/N.O","N.S/N.O",1
654,"Sachaca","Hombre","55-70","C","Rafael López Aliaga","Otros","Otros",1
655,"Mariano Melgar","Hombre","35-44","A/B","N.S/N.O","Amalia Palomino Pacheco","N.S/N.O",1
656,"Cerro Colorado","Mujer","18-24","C","N.S/N.O","Otros","N.S/N.O",1
657,"Paucarpata","Hombre","25-34","C","Wolfgang Grozo Costa","N.S/N.O","Gustavo Rondón Fudinaga",1
658,"Cerro Colorado","Hombre","35-44","D/E","Carlos Álvarez Loayza","Esdras Medina Minaya","Otros",1
659,"Cerro Colorado","Mujer","35-44","C","N.S/N.O","N.S/N.O","Yobana Huisa Vargas",1
660,"José Luis Bustamante y Rivero","Mujer","35-44","D/E","Carlos Álvarez Loayza","Nicolas Talavera Benavente","Yobana Huisa Vargas",1
661,"Socabaya","Mujer","18-24","D/E","Keiko Fujimori Higuchi","Cosme Huaman Sánchez","N.S/N.O",1
662,"Alto Selva Alegre","Mujer","25-34","D/E","N.S/N.O","Esdras Medina Minaya","Otros",1
663,"Paucarpata","Hombre","55-70","D/E","N.S/N.O","Adolfo Donayre Sarolli","Otros",1
664,"José Luis Bustamante y Rivero","Mujer","25-34","C","Pablo López Chau","N.S/N.O","Ricardo Ramírez del Villar",1
665,"Cerro Colorado","Mujer","45-54","C","N.S/N.O","Otros","Ricardo Ramírez del Villar",1
666,"Yura","Mujer","45-54","C","Rafael López Aliaga","Otros","Yobana Huisa Vargas",1
667,"Paucarpata","Mujer","35-44","D/E","Pablo López Chau","N.S/N.O","N.S/N.O",1
668,"Paucarpata","Mujer","18-24","D/E","N.S/N.O","N.S/N.O","Ricardo Ramírez del Villar",1
669,"Mariano Melgar","Mujer","35-44","A/B","Pablo López Chau","Marleny Arminta Valencia","Sergio Davila Vizcarra",1
670,"Cerro Colorado","Hombre","35-44","D/E","N.S/N.O","Otros","A. Elmer Arenas Pérez",1
671,"Socabaya","Mujer","55-70","C","N.S/N.O","N.S/N.O","Otros",1
672,"Alto Selva Alegre","Hombre","25-34","D/E","N.S/N.O","Adolfo Donayre Sarolli","Otros",1
673,"Yanahuara","Hombre","25-34","C","N.S/N.O","Marleny Arminta Valencia","N.S/N.O",1
674,"Socabaya","Mujer","55-70","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
675,"Socabaya","Hombre","45-54","D/E","Otros","N.S/N.O","N.S/N.O",1
676,"Socabaya","Hombre","25-34","D/E","Wolfgang Grozo Costa","Nicolas Talavera Benavente","Otros",1
677,"Cayma","Hombre","18-24","C","Carlos Álvarez Loayza","Marleny Arminta Valencia","N.S/N.O",1
678,"Cerro Colorado","Hombre","18-24","C","Roberto Sánchez Palomino","Marleny Arminta Valencia","A. Elmer Arenas Pérez",1
679,"Cerro Colorado","Mujer","25-34","D/E","N.S/N.O","N.S/N.O","Ricardo Ramírez del Villar",1
680,"Arequipa Cercado","Mujer","45-54","D/E","N.S/N.O","Amalia Palomino Pacheco","Sergio Davila Vizcarra",1
681,"Cerro Colorado","Mujer","25-34","D/E","N.S/N.O","Otros","N.S/N.O",1
682,"Sachaca","Mujer","55-70","D/E","Wolfgang Grozo Costa","Adolfo Donayre Sarolli","N.S/N.O",1
683,"José Luis Bustamante y Rivero","Mujer","25-34","A/B","N.S/N.O","N.S/N.O","Yobana Huisa Vargas",1
684,"Paucarpata","Mujer","35-44","D/E","Cesar Acuña Peralta","N.S/N.O","Sergio Davila Vizcarra",1
685,"Sachaca","Mujer","18-24","D/E","Carlos Álvarez Loayza","Nicolas Talavera Benavente","N.S/N.O",1
686,"Cerro Colorado","Mujer","35-44","A/B","Otros","Guido del Carpio Rodriguez","Ricardo Ramírez del Villar",1
687,"La Joya","Mujer","55-70","D/E","N.S/N.O","Nicolas Talavera Benavente","N.S/N.O",1
688,"Cerro Colorado","Mujer","25-34","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
689,"Cerro Colorado","Hombre","35-44","A/B","Pablo López Chau","Esdras Medina Minaya","N.S/N.O",1
690,"Cerro Colorado","Mujer","45-54","A/B","N.S/N.O","Marleny Arminta Valencia","N.S/N.O",1
691,"Paucarpata","Mujer","35-44","C","José Luna Gálvez","Marleny Arminta Valencia","N.S/N.O",1
692,"Paucarpata","Hombre","45-54","D/E","Rafael López Aliaga","Otros","N.S/N.O",1
693,"Cerro Colorado","Mujer","55-70","A/B","Pablo López Chau","Nicolas Talavera Benavente","Otros",1
694,"Arequipa Cercado","Hombre","18-24","C","Wolfgang Grozo Costa","Otros","Otros",1
695,"Cerro Colorado","Mujer","25-34","C","Rafael López Aliaga","N.S/N.O","N.S/N.O",1
696,"Yura","Hombre","18-24","C","N.S/N.O","N.S/N.O","N.S/N.O",1
697,"Arequipa Cercado","Hombre","45-54","C","Pablo López Chau","N.S/N.O","N.S/N.O",1
698,"Paucarpata","Mujer","18-24","D/E","Roberto Sánchez Palomino","Nicolas Talavera Benavente","Sergio Davila Vizcarra",1
699,"Paucarpata","Mujer","55-70","D/E","Cesar Acuña Peralta","Marleny Arminta Valencia","Sergio Davila Vizcarra",1
700,"Mariano Melgar","Mujer","35-44","A/B","N.S/N.O","Mauricio Alosilla Chambi","N.S/N.O",1
701,"Paucarpata","Hombre","35-44","D/E","Cesar Acuña Peralta","Esdras Medina Minaya","Otros",1
702,"La Joya","Mujer","55-70","C","N.S/N.O","Mauricio Alosilla Chambi","Ricardo Ramírez del Villar",1
703,"Cerro Colorado","Mujer","18-24","C","Otros","N.S/N.O","N.S/N.O",1
704,"Paucarpata","Hombre","18-24","D/E","N.S/N.O","Otros","Gustavo Rondón Fudinaga",1
705,"Arequipa Cercado","Hombre","18-24","C","Keiko Fujimori Higuchi","Mauricio Alosilla Chambi","Gustavo Rondón Fudinaga",1
706,"Alto Selva Alegre","Hombre","45-54","D/E","Keiko Fujimori Higuchi","N.S/N.O","Ricardo Ramírez del Villar",1
707,"Arequipa Cercado","Mujer","45-54","A/B","Carlos Álvarez Loayza","Otros","Otros",1
708,"Alto Selva Alegre","Hombre","25-34","D/E","Otros","N.S/N.O","Sergio Davila Vizcarra",1
709,"José Luis Bustamante y Rivero","Hombre","25-34","C","N.S/N.O","Otros","N.S/N.O",1
710,"Yanahuara","Mujer","45-54","C","Otros","Marleny Arminta Valencia","Gustavo Rondón Fudinaga",1
711,"José Luis Bustamante y Rivero","Hombre","35-44","C","Otros","Guido del Carpio Rodriguez","Sergio Davila Vizcarra",1
712,"Cerro Colorado","Hombre","18-24","D/E","Rafael López Aliaga","N.S/N.O","Gustavo Rondón Fudinaga",1
713,"Mariano Melgar","Mujer","25-34","A/B","N.S/N.O","N.S/N.O","N.S/N.O",1
714,"Yanahuara","Hombre","18-24","C","N.S/N.O","N.S/N.O","N.S/N.O",1
715,"José Luis Bustamante y Rivero","Hombre","55-70","D/E","N.S/N.O","N.S/N.O","N.S/N.O",1
716,"Socabaya","Mujer","25-34","D/E","Pablo López Chau","N.S/N.O","N.S/N.O",1
717,"Cerro Colorado","Mujer","45-54","C","Pablo López Chau","Nicolas Talavera Benavente","Ricardo Ramírez del Villar",1
718,"Paucarpata","Mujer","18-24","D/E","José Luna Gálvez","N.S/N.O","Otros",1
719,"José Luis Bustamante y Rivero","Mujer","55-70","C","Otros","Guido del Carpio Rodriguez","N.S/N.O",1
720,"Cerro Colorado","Mujer","25-34","D/E","Rafael López Aliaga","Adolfo Donayre Sarolli","Yobana Huisa Vargas",1
721,"Mariano Melgar","Mujer","55-70","A/B","Cesar Acuña Peralta","Amalia Palomino Pacheco","Gustavo Rondón Fudinaga",1
722,"Alto Selva Alegre","Mujer","35-44","C","Carlos Álvarez Loayza","Cosme Huaman Sánchez","Yobana Huisa Vargas",1
723,"Paucarpata","Mujer","55-70","D/E","Rafael López Aliaga","Adolfo Donayre Sarolli","N.S/N.O",1
724,"Miraflores","Hombre","55-70","D/E","N.S/N.O","Otros","N.S/N.O",1
725,"La Joya","Hombre","35-44","D/E","Pablo López Chau","Nicolas Talavera Benavente","Sergio Davila Vizcarra",1
726,"Cayma","Mujer","35-44","D/E","N.S/N.O","Otros","N.S/N.O",1
727,"Socabaya","Mujer","35-44","C","N.S/N.O","N.S/N.O","N.S/N.O",1
728,"Socabaya","Hombre","55-70","D/E","Pablo López Chau","N.S/N.O","Ricardo Ramírez del Villar",1
729,"Cayma","Hombre","25-34","D/E","N.S/N.O","N.S/N.O","Otros",1
730,"Socabaya","Hombre","18-24","D/E","Cesar Acuña Peralta","N.S/N.O","N.S/N.O",1
731,"Yura","Mujer","35-44","D/E","Wolfgang Grozo Costa","N.S/N.O","N.S/N.O",1
732,"Cerro Colorado","Mujer","55-70","D/E","Keiko Fujimori Higuchi","Amalia Palomino Pacheco","N.S/N.O",1
733,"Cayma","Mujer","45-54","C","Otros","Otros","N.S/N.O",1
734,"Mariano Melgar","Hombre","35-44","D/E","N.S/N.O","N.S/N.O","Sergio Davila Vizcarra",1
735,"Paucarpata","Hombre","35-44","A/B","Keiko Fujimori Higuchi","Cosme Huaman Sánchez","N.S/N.O",1
736,"Cerro Colorado","Hombre","18-24","C","N.S/N.O","N.S/N.O","Ricardo Ramírez del Villar",1
737,"Yanahuara","Mujer","18-24","A/B","Wolfgang Grozo Costa","N.S/N.O","N.S/N.O",1
738,"Yanahuara","Mujer","45-54","C","Carlos Álvarez Loayza","Esdras Medina Minaya","N.S/N.O",1
739,"Socabaya","Mujer","25-34","C","José Luna Gálvez","Cosme Huaman Sánchez","Sergio Davila Vizcarra",1
740,"Cerro Colorado","Mujer","25-34","C","N.S/N.O","Mauricio Alosilla Chambi","N.S/N.O",1
741,"José Luis Bustamante y Rivero","Mujer","18-24","D/E","Rafael López Aliaga","Nicolas Talavera Benavente","N.S/N.O",1
742,"Alto Selva Alegre","Mujer","45-54","D/E","N.S/N.O","Guido del Carpio Rodriguez","Otros",1
743,"Cerro Colorado","Mujer","18-24","D/E","N.S/N.O","N.S/N.O","Ricardo Ramírez del Villar",1
744,"Mariano Melgar","Mujer","35-44","D/E","Pablo López Chau","Guido del Carpio Rodriguez","N.S/N.O",1
745,"Sachaca","Hombre","18-24","D/E","Pablo López Chau","Amalia Palomino Pacheco","N.S/N.O",1
746,"Paucarpata","Mujer","18-24","D/E","Pablo López Chau","Adolfo Donayre Sarolli","N.S/N.O",1
747,"Paucarpata","Mujer","35-44","A/B","Roberto Sánchez Palomino","N.S/N.O","N.S/N.O",1
748,"Cerro Colorado","Hombre","35-44","D/E","N.S/N.O","N.S/N.O","Gustavo Rondón Fudinaga",1
749,"Paucarpata","Mujer","45-54","D/E","Pablo López Chau","N.S/N.O","N.S/N.O",1
750,"Cayma","Mujer","18-24","C","N.S/N.O","Otros","Otros",1
751,"Yura","Mujer","45-54","D/E","N.S/N.O","Nicolas Talavera Benavente","N.S/N.O",1
752,"Paucarpata","Hombre","25-34","C","N.S/N.O","N.S/N.O","N.S/N.O",1
753,"Paucarpata","Hombre","25-34","D/E","Rafael López Aliaga","Marleny Arminta Valencia","N.S/N.O",1
754,"Cerro Colorado","Mujer","45-54","D/E","Otros","Otros","Otros",1
755,"Paucarpata","Mujer","35-44","D/E","Keiko Fujimori Higuchi","Otros","Ricardo Ramírez del Villar",1
756,"Cerro Colorado","Mujer","45-54","D/E","Otros","N.S/N.O","Gustavo Rondón Fudinaga",1
757,"La Joya","Mujer","45-54","D/E","Otros","Otros","Sergio Davila Vizcarra",1
758,"Paucarpata","Hombre","45-54","C","Rafael López Aliaga","N.S/N.O","N.S/N.O",1
759,"Yanahuara","Mujer","35-44","D/E","José Luna Gálvez","Otros","N.S/N.O",1
760,"Cerro Colorado","Hombre","35-44","A/B","N.S/N.O","Otros","Sergio Davila Vizcarra",1
761,"Sachaca","Hombre","18-24","D/E","Carlos Álvarez Loayza","N.S/N.O","Otros",1
762,"Alto Selva Alegre","Mujer","18-24","D/E","Pablo López Chau","N.S/N.O","Sergio Davila Vizcarra",1
763,"Arequipa Cercado","Hombre","35-44","C","Rafael López Aliaga","N.S/N.O","Yobana Huisa Vargas",1
764,"Sachaca","Mujer","25-34","C","N.S/N.O","N.S/N.O","Otros",1
765,"Alto Selva Alegre","Mujer","45-54","C","N.S/N.O","N.S/N.O","A. Elmer Arenas Pérez",1
766,"Paucarpata","Mujer","25-34","D/E","Pablo López Chau","N.S/N.O","Gustavo Rondón Fudinaga",1
767,"Sachaca","Hombre","35-44","D/E","Pablo López Chau","Cosme Huaman Sánchez","Otros",1
768,"Cerro Colorado","Mujer","18-24","C","Otros","N.S/N.O","N.S/N.O",1
769,"Mariano Melgar","Hombre","35-44","C","Carlos Álvarez Loayza","N.S/N.O","N.S/N.O",1
770,"José Luis Bustamante y Rivero","Mujer","35-44","D/E","N.S/N.O","Esdras Medina Minaya","Ricardo Ramírez del Villar",1
771,"Mariano Melgar","Mujer","25-34","C","N.S/N.O","Otros","N.S/N.O",1
772,"José Luis Bustamante y Rivero","Mujer","25-34","D/E","N.S/N.O","Otros","Otros",1
773,"Mariano Melgar","Hombre","35-44","A/B","N.S/N.O","Marleny Arminta Valencia","N.S/N.O",1
